LFQ intensity 11_pTa	LFQ intensity 12_pT2+	LFQ intensity 15_pT2+	LFQ intensity 16_pTa	LFQ intensity 17_pT2+	LFQ intensity 19_pTa	LFQ intensity 3_pTa	LFQ intensity 9_pT2+	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Welch's T-test Significant pTa_pT2+	C: Welch's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	N: Welch's T-test p-value pTa_pT2+	N: Welch's T-test q-value pTa_pT2+	N: Welch's T-test Difference pTa_pT2+	N: Welch's T-test Test statistic pTa_pT2+
23.5174	23.9924	23.4256	23.8522	23.9494	23.308	21.9244	23.0616						19	19	19	19.2	19.2	19.2	145.83	0	69.181	102710000	98	0.388119	0.87301	-0.456724	-0.953851
22.7082	21.211	22.4844	23.5221	22.9641	23.8385	23.706	22.8526						4	4	4	20	20	20	24.669	0	20.717	70424000	56	0.0745078	0.791596	1.06562	2.24087
22.6958	23.187	23.288	23.0762	23.7174	20.863	21.7846	22.6053						28	28	28	16.9	16.9	16.9	244.5	0	97.751	68736000	67	0.111291	0.765237	-1.09455	-2.00764
19.5587	21.615	19.0346	19.035	21.8597	19.2098	21.9436	21.4447						5	5	5	17.1	17.1	17.1	29.062	0	11.612	23063000	12	0.307828	0.817183	-1.05168	-1.11429
26.1283	25.5865	26.1129	25.928	25.5166	27.2187	27.6867	26.0033						22	22	20	58.2	58.2	54.6	46.659	0	253.95	679820000	583	0.110933	0.768371	0.935612	2.08169
19.5556	19.9269	17.4413	18.243	17.2215	18.0339	25.3439	18.9437						22	22	22	33.1	33.1	33.1	98.828	0	81.206	45797000	47	0.358501	0.837541	1.91076	1.04272
21.1024	21.0285	21.1792	22.4055	20.7993	20.0567	22.2174	22.0238						4	4	4	23.4	23.4	23.4	21.614	0	9.7067	26558000	27	0.771207	0.954435	0.1878	0.309446
24.2156	23.5612	23.088	23.6358	23.4462	22.8947	25.5301	24.3724						6	6	6	49.7	49.7	49.7	18.491	0	33.687	150740000	94	0.50292	0.886268	0.45211	0.729774
21.6135	20.2229	22.1148	21.7983	21.4851	20.0387	21.5292	19.9868						8	8	8	24.6	24.6	24.6	47.355	0	28.087	20882000	20	0.669438	0.926755	0.292538	0.449733
22.7873	22.0346	21.8897	22.8173	22.9955	21.1117	22.3264	22.2582						4	4	4	46.6	46.6	46.6	11.428	0	26.894	50520000	65	0.945339	0.989281	-0.0337811	-0.072081
21.092	20.0642	20.8123	21.3667	21.0152	20.4468	21.4323	21.1898						5	5	5	17.3	17.3	17.3	37.432	0	13.477	17439000	12	0.384459	0.869277	0.314082	0.938654
21.3795	22.0039	21.8646	21.5741	22.077	19.5505	20.0037	21.7245						8	8	8	18.8	18.8	18.8	54.972	0	21.229	25197000	20	0.0803987	0.770139	-1.29054	-2.54588
25.3339	23.1848	23.314	24.8496	21.7912	26.3419	25.7982	24.4142						11	11	11	80.3	80.3	80.3	13.331	0	203.97	226310000	253	0.0126223	0.5735	2.40487	3.84584
22.1057	19.415	21.2821	21.463	22.1667	21.1668	20.2749	21.2884						9	9	9	16	16	16	75.022	0	15.782	21989000	9	0.768978	0.952989	0.214558	0.309541
22.4523	21.8039	22.145	22.0157	22.0894	22.6845	22.3441	22.3853						11	11	11	20.7	20.7	20.7	67.454	0	29.079	40916000	37	0.194604	0.786526	0.26827	1.46408
21.9342	20.3585	20.8758	21.4077	21.1904	18.9769	19.5387	20.5837						11	11	11	16	16	16	89.594	0	27.292	16806000	25	0.719377	0.945259	-0.287754	-0.390666
22.1923	21.9055	21.1865	22.6888	21.5889	21.7436	22.1168	22.3551						8	8	8	30.7	30.7	30.7	37.839	0	43.68	37101000	34	0.226578	0.807127	0.426366	1.35572
22.5176	21.2635	22.5001	22.5161	21.8399	19.4336	19.9285	19.992						11	11	11	11.4	11.4	11.4	133.01	0	26.185	28562000	21	0.772004	0.953805	-0.299943	-0.305482
20.0462	20.6795	20.2036	20.0849	19.8764	20.475	18.7734	19.8274						2	2	2	21.7	21.7	21.7	15.208	0.00051813	4.8399	5474100	13	0.506301	0.887595	-0.301875	-0.720695
20.2899	20.4721	19.6938	19.9898	20.9381	20.8651	19.7379	21.0597						5	5	5	7.7	7.7	7.7	83.353	0	16.624	10982000	15	0.448204	0.881415	-0.320277	-0.814435
20.4532	22.027	21.1185	20.9868	21.8931	19.528	18.8005	20.9762						4	4	4	12	12	12	51.466	0	39.315	18197000	21	0.0401934	0.682694	-1.56155	-2.82002
23.5678	22.588	23.3156	23.6237	22.7111	23.9389	24.1365	22.8997						9	9	9	45.7	45.7	45.7	27.547	0	37.521	98095000	101	0.00437259	0.296	0.938079	4.50503
19.9234	22.0777	21.1625	19.303	21.7605	19.1847	22.3206	19.3224						8	8	8	10.7	10.7	10.7	119.52	0	25.852	21737000	20	0.384778	0.868364	-0.897851	-0.939395
19.405	22.0382	19.8908	22.4014	22.7061	18.7296	21.4412	22.0136						7	7	7	28.1	28.1	28.1	38.274	0	18.888	28869000	20	0.31449	0.824679	-1.16784	-1.10817
22.4022	20.6526	22.6676	22.7612	19.7782	21.9567	22.472	22.7706						10	10	10	21.8	21.8	21.8	63.523	0	17.493	39179000	27	0.302549	0.81849	0.930787	1.2197
22.1924	20.5589	20.7293	21.6636	21.0433	20.5003	20.4014	20.1044						4	4	4	18.1	18.1	18.1	27.873	0	13.06	17617000	14	0.292692	0.808277	0.580451	1.20445
18.849	20.5285	19.3856	20.6433	21.6333	20.5338	20.0498	22.2195						4	4	2	18.3	18.3	11.9	24.267	0	24.791	15296000	10	0.27082	0.797952	-0.922743	-1.23233
22.9083	22.9488	23.0888	23.1346	22.9765	20.111	22.0694	21.8215						19	19	13	23.8	23.8	16.6	107.54	0	54.696	56224000	47	0.43159	0.885476	-0.653043	-0.871761
22.4234	22.1576	21.717	22.3606	21.7421	20.3278	22.7207	21.2773						11	11	11	22.7	22.7	22.7	66.9	0	35.453	35011000	37	0.707425	0.937767	0.234632	0.40609
21.8238	20.0262	21.766	22.6424	21.9981	23.0783	22.2349	20.2827						8	8	8	31.2	31.2	31.2	33.392	0	29.238	33815000	22	0.0590419	0.70784	1.42662	2.49786
21.3476	21.9136	20.936	21.6504	20.2842	22.0499	21.3304	19.569						4	4	4	30.8	30.8	30.8	19.206	0	22.595	20390000	16	0.161787	0.769207	0.918855	1.74702
24.0008	20.2681	20.1228	25.4269	22.2836	25.7596	25.1151	20.1426						7	7	7	46.9	46.9	46.9	19.979	0	53.349	137510000	93	0.000778544	0.176	4.37132	6.7144
21.2156	21.0042	21.2676	21.0834	20.4035	19.9172	18.8058	21.1972						2	2	2	14	14	14	20.776	0	7.1788	16589000	21	0.303613	0.816155	-0.712669	-1.19254
21.1157	19.3954	21.7992	21.275	22.1724	19.9658	20.8798	21.6182						5	5	5	14.2	14.2	14.2	47.46	0	28.612	21766000	15	0.560221	0.893058	-0.437199	-0.631347
24.712	23.886	21.8377	22.5182	24.1081	19.2252	26.6387	25.2621						5	5	5	49.3	49.3	49.3	15.33	0	41.848	234140000	94	0.787923	0.953439	-0.499957	-0.286902
25.6311	25.8691	26.403	26.9776	26.2454	25.2018	27.0116	25.0231						20	19	19	62.7	59	59	36.688	0	173.7	661390000	427	0.589132	0.896862	0.320403	0.575104
24.3508	23.0562	24.0648	24.5393	23.9148	24.421	23.7559	23.755						16	16	16	35.1	35.1	35.1	61.397	0	62.728	147280000	161	0.0940044	0.735406	0.569042	2.00902
23.4615	23.0549	23.9437	23.5902	23.0821	22.7741	23.3164	23.2005						9	9	9	37.5	37.5	37.5	34.234	0	46.669	90645000	99	0.904227	0.980782	-0.0347176	-0.125629
22.5549	21.6379	21.7052	23.0122	21.3651	23.3122	23.2973	22.5054						9	9	9	22.8	22.8	22.8	56.256	0	37.521	48893000	47	0.00775879	0.480727	1.24074	4.10154
23.0864	21.8874	23.0159	23.8504	22.5845	23.5264	23.4979	23.7175						4	4	4	23.3	23.3	23.3	25.565	0	13.564	83602000	86	0.172359	0.77898	0.688937	1.66199
21.9524	22.7584	23.3236	21.9819	22.1586	19.6018	23.4937	22.6999						6	6	6	64.3	64.3	64.3	15.936	0	60.06	56149000	40	0.316296	0.824858	-0.977663	-1.16641
23.4175	22.4992	22.7322	22.8878	22.6002	22.9428	23.426	22.693						13	13	13	16.6	16.6	16.6	122.2	0	56.107	64239000	64	0.0288689	0.686471	0.537358	3.45393
